codigo_producto,descripcion_art,bodega,segmento,linea_comercial,categoria,criterio_faltante
74662,TRAPICHE PURO ROSE 6X750,Trapiche,Premium,Puro-Impuro,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74663,TRAPICHE PURO CAB SAUV 6X750,Trapiche,Premium,Puro-Impuro,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74664,TRAPICHE IMPURO CAB SAUV 6X750,Trapiche,Premium,Puro-Impuro,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74570,LOS INTOCABLES MALBEC 6X750 ,Finca Las Moras,Premium,Los Intocables,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74749,INTOCABLES DOUBLE OAK 6x750,Finca Las Moras,Premium,Los Intocables,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74583,LOS INTOCABLES CAB.SAUV 6X750,Finca Las Moras,Premium,Los Intocables,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74651,LOS INTOCABLES CHARD 6X750,Finca Las Moras,Premium,Los Intocables,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74684,LOS INTOCABLES RED BLEND 6X750,Finca Las Moras,Premium,Los Intocables,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74715,LOS INTOCABLES RUM BLEND 6X750,Finca Las Moras,Premium,Los Intocables,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
44367,BLEND DE EXTREMOS MB EE 6X750 (44367),El Esteco,Premium,Blend de Extremos,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
44396,BLEND DE EXTREMOS PN PN 6X750,El Esteco,Premium,Blend de Extremos,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
44368,BLEND DE EXTREMOS CB EE 6X750 (44368),El Esteco,Premium,Blend de Extremos,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
44372,BLEND DE EXTREMOS TOR-TOR6X750 (44372),El Esteco,Premium,Blend de Extremos,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
44373,BLEND DE EXTREMOS MB-MLT 6X750 (44373),El Esteco,Premium,Blend de Extremos,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
54019,LA MASCOTA CABER FRANC 6X750,Mascota Vineyards,Premium,La Mascota,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
70343,MEDALLA TTO 6X750,Trapiche,Super Premium,Medalla,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74520,MEDALLA MALBEC 6X750,Trapiche,Super Premium,Medalla,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74521,MEDALLA CABERNET SAUV. 6X750,Trapiche,Super Premium,Medalla,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74522,MEDALLA CHARDONNAY 6X750,Trapiche,Super Premium,Medalla,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74246,FOND CAVE G.RVA CABSAU 6X750,Trapiche,Super Premium,Fond de Cave Gran Reserva,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
74248,FOND CAVE G.RVA MALBEC 6X750,Trapiche,Super Premium,Fond de Cave Gran Reserva,Vinos de guarda,Categoria no es 'Vinos del año'; validar contra Tags Gescom
