tipo,accion_a,accion_b,vendedores_comunes,canales_comunes,productos_comunes,categorias_comunes,descuentos,ambas_no_acumulables,estado
SEMANTICA_LINEA_MARCA,ACJ26-010,ACJ26-016,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,,VDA,10 vs 10,True,PENDIENTE_VALIDACION
SEMANTICA_LINEA_MARCA,ACJ26-010,ACJ26-026,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,,VDA,10 vs ,True,PENDIENTE_VALIDACION
DIRECTA,ACJ26-011,ACJ26-015,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,FLIA GORDONS|FLIA SMIRNOFF|GORDONS|SMIRNOFF,RTD|SPIRITS,10 vs 12|15,True,PENDIENTE_VALIDACION
SEMANTICA_LINEA_MARCA,ACJ26-012,ACJ26-014,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,,VDA,7 vs 12|15,True,PENDIENTE_VALIDACION
DIRECTA,ACJ26-012,ACJ26-016,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,DADA|SAN TELMO|SUTER,SIDRA|VDA,7 vs 10,True,PENDIENTE_VALIDACION
DIRECTA,ACJ26-012,ACJ26-026,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,DADA,VDA,7 vs ,True,PENDIENTE_VALIDACION
SEMANTICA_LINEA_MARCA,ACJ26-014,ACJ26-016,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO|MAYORISTA,,VDA,12|15 vs 10,True,PENDIENTE_VALIDACION
SEMANTICA_LINEA_MARCA,ACJ26-014,ACJ26-026,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,,VDA,12|15 vs ,True,PENDIENTE_VALIDACION
DIRECTA,ACJ26-016,ACJ26-026,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,DADA,VDA,10 vs ,True,PENDIENTE_VALIDACION
DIRECTA,ACJ26-018,ACJ26-019,V10|V3|V4|V6|V7|V8|V9,ON_PREMISE,ALMA MORA,VDA, vs ,True,PENDIENTE_VALIDACION
DIRECTA,ACJ26-022,ACJ26-023,V10|V3|V4|V6|V7|V8|V9,AUTOSERVICIO,11 TITULARES|11 TITULARES POR SEGMENTO,, vs ,False,PENDIENTE_VALIDACION
