Codigo,Categoria,Segmento,Linea Comercial,Lts x caja,UxC
74053,Vinos de guarda,Premium,Fond de Cave Reserva,3.0,6
74117,Vinos de guarda,Premium,Fond de Cave Reserva,4.5,6
74118,Vinos de guarda,Premium,Fond de Cave Reserva,4.5,6
74140,Vinos de guarda,Premium,Fond de Cave Reserva,4.5,6
74144,Vinos de guarda,Premium,Fond de Cave Reserva,4.5,6
74414,Vinos de guarda,Premium,Fond de Cave Reserva,3.0,6
74443,Vinos de guarda,Premium,Fond de Cave Reserva,4.5,6
44296,Vinos de guarda,Premium,Don David Rva,4.5,6
44297,Vinos de guarda,Premium,Don David Rva,4.5,6
44326,Vinos de guarda,Premium,Don David Rva,4.5,6
44360,Vinos de guarda,Premium,Don David Rva,4.5,6
80030,Vinos de guarda,Premium,NC Reserva,4.5,6
80031,Vinos de guarda,Premium,NC Reserva,4.5,6
80032,Vinos de guarda,Premium,NC Reserva,4.5,6
74555,Vinos de guarda,Premium,Puro-Impuro,4.5,6
74556,Vinos de guarda,Premium,Puro-Impuro,4.5,6
74662,Vinos de guarda,Premium,Puro-Impuro,4.5,6
74663,Vinos de guarda,Premium,Puro-Impuro,4.5,6
74664,Vinos de guarda,Premium,Puro-Impuro,4.5,6
74570,Vinos de guarda,Premium,Los Intocables,4.5,6
74749,Vinos de guarda,Premium,Los Intocables,4.5,6
74583,Vinos de guarda,Premium,Los Intocables,4.5,6
74651,Vinos de guarda,Premium,Los Intocables,4.5,6
74684,Vinos de guarda,Premium,Los Intocables,4.5,6
74715,Vinos de guarda,Premium,Los Intocables,4.5,6
44367,Vinos de guarda,Premium,Blend de Extremos,4.5,6
44396,Vinos de guarda,Premium,Blend de Extremos,4.5,6
44368,Vinos de guarda,Premium,Blend de Extremos,4.5,6
44372,Vinos de guarda,Premium,Blend de Extremos,4.5,6
44373,Vinos de guarda,Premium,Blend de Extremos,4.5,6
54019,Vinos de guarda,Premium,La Mascota,4.5,6
70343,Vinos de guarda,Super Premium,Medalla,4.5,6
74520,Vinos de guarda,Super Premium,Medalla,4.5,6
74521,Vinos de guarda,Super Premium,Medalla,4.5,6
74522,Vinos de guarda,Super Premium,Medalla,4.5,6
74246,Vinos de guarda,Super Premium,Fond de Cave Gran Reserva,4.5,6
74248,Vinos de guarda,Super Premium,Fond de Cave Gran Reserva,4.5,6
74413,Vinos de guarda,Super Premium,Fond de Cave Gran Reserva,4.5,6
54011,Vinos de guarda,Super Premium,Gran Mascota,4.5,6
54015,Vinos de guarda,Super Premium,Gran Mascota,4.5,6
44288,Vinos de guarda,Super Premium,El Esteco,4.5,6
44289,Vinos de guarda,Super Premium,El Esteco,4.5,6
44354,Vinos de guarda,Super Premium,El Esteco,3.0,4
44355,Vinos de guarda,Super Premium,El Esteco,3.0,4
44357,Vinos de guarda,Super Premium,El Esteco,3.0,6
80034,Vinos de guarda,Super Premium,Alegoria,4.5,6
80036,Vinos de guarda,Super Premium,Alegoria,4.5,6
80037,Vinos de guarda,Super Premium,Alegoria,4.5,6
44320,Vinos de guarda,Super Premium,El Esteco Old Vines,4.5,6
44321,Vinos de guarda,Super Premium,El Esteco Old Vines,4.5,6
44322,Vinos de guarda,Super Premium,El Esteco Old Vines,4.5,6
44323,Vinos de guarda,Super Premium,El Esteco Old Vines,4.5,6
74025,Vinos de guarda,Ultra Premium,Mora Negra,4.5,6
41080,Vinos de guarda,Ultra Premium,Fincas Notables,4.5,6
41082,Vinos de guarda,Ultra Premium,Fincas Notables,4.5,6
41084,Vinos de guarda,Ultra Premium,Fincas Notables,4.5,6
44307,Vinos de guarda,Ultra Premium,Fincas Notables,4.5,6
44358,Vinos de guarda,Ultra Premium,Fincas Notables,4.5,6
54022,Vinos de guarda,Ultra Premium,Unánime,4.5,6
54040,Vinos de guarda,Ultra Premium,Unánime,4.5,6
74054,Vinos de guarda,Ultra Premium,Gran Medalla,4.5,6
74238,Vinos de guarda,Ultra Premium,Gran Medalla,4.5,6
74656,Vinos de guarda,Ultra Premium,Gran Medalla,4.5,6
74658,Vinos de guarda,Ultra Premium,Gran Medalla,4.5,6
74170,Vinos de guarda,Ultra Premium,Las Moras Gran Syrah,4.5,6
20500,Espumantes,Champaña Medio,Champaña suter,4.5,6
20505,Espumantes,Champaña Medio,Champaña suter,4.5,6
80093,Espumantes,Champaña Medio,Champaña San Telmo,4.5,6
80092,Espumantes,Champaña Medio,Champaña San Telmo,4.5,6
54035,Espumantes,Champaña Alta y Premium,Espumante Mascota Vineyards,4.5,6
74830,Sidra,Premium,DADA Sidra,4.5,6
74446,Espumantes,Champaña Alta y Premium,Champaña Dada,4.5,6
74813,Espumantes,Champaña Alta y Premium,Champaña Dada,4.5,6
74728,Espumantes,Champaña Alta y Premium,Champaña Dada,4.5,6
74473,Espumantes,Champaña Alta y Premium,Champaña Dada,4.5,6
74567,Espumantes,Champaña Alta y Premium,Champaña Dada,4.5,6
74568,Espumantes,Champaña Alta y Premium,Champaña Dada,4.5,6
74709,Espumantes,Champaña Alta y Premium,Champaña Dada,8.52,24
74710,Espumantes,Champaña Alta y Premium,Champaña Dada,8.52,24
44365,Espumantes,Champaña Alta y Premium,El Esteco,3.0,4
74551,Espumantes,Champaña Alta y Premium,Espumante Costa&Pampa,4.5,6
74552,Espumantes,Champaña Alta y Premium,Espumante Costa&Pampa,4.5,6
80045,Espumantes,Champaña Alta y Premium,NC Espumantes,4.5,6
80046,Espumantes,Champaña Alta y Premium,NC Espumantes,4.5,6
80048,Espumantes,Champaña Alta y Premium,NC Espumantes,4.5,6
80094,Espumantes,Champaña Alta y Premium,NC Espumantes,8.52,24
80050,Espumantes,Champaña Alta y Premium,NC Espumantes,4.5,6
35103,RTD (S),RTD (S),Smirnoff Ice,11.352,24
35104,RTD (S),RTD (S),Smirnoff Ice Flavours,11.352,24
35105,RTD (S),RTD (S),Smirnoff Ice Flavours,11.352,24
35107,RTD (S),RTD (S),Gordon´s,11.352,24
35109,RTD (S),RTD (S),Smirnoff Bitter Citric RTD,11.352,24
35108,RTD (S),RTD (S),Smirnoff Bitter Citric RTD,11.352,24
30010,Spirits,Nacional,J&B Rare,9.0,12
30001,Spirits,Nacional,JW,9.0,12
30002,Spirits,Nacional,JW,12.0,12
30019,Spirits,Nacional,Smirnoff,8.399999999999999,12
30020,Spirits,Nacional,Smirnoff,4.199999999999999,6
30022,Spirits,Nacional,Smirnoff,4.199999999999999,6
30065,Spirits,Nacional,Smirnoff,4.199999999999999,6
30131,Spirits,Nacional,Smirnoff,4.199999999999999,6
30135,Spirits,Nacional,Smirnoff Flavors,4.199999999999999,6
30023,Spirits,Nacional,White Horse,9.0,12
30075,Spirits,Nacional,Gordon´s,4.199999999999999,6
30139,Spirits,Nacional,Gordon's Flavors,4.199999999999999,6
30134,Spirits,Nacional,Gordon's Flavors,4.199999999999999,6
30012,Spirits,Importados,Baileys,9.0,12
30129,Spirits,Importados,Baileys Flavours,9.0,12
30003,Spirits,Importados,JW,9.0,12
30004,Spirits,Importados,JW,12.0,12
30005,Spirits,Importados,JW,4.5,6
30016,Spirits,Importados,Ketel One,9.0,12
30130,Spirits,Importados,Tanqueray,4.2,6
30140,Spirits,Importados,Tanqueray Flavours,4.2,6
30128,Spirits,Importados,TANQUERAY FLAVORS,4.2,6
30018,Spirits,Importados,Zacapa Centenario 23,4.5,6
30048,Spirits,Importados,Old Parr,9.0,12
30076,Spirits,Importados,Buchanan's,9.0,12
30077,Spirits,Importados,Sheridan¨s,4.5,6
30138,Spirits,Importados,JW,4.5,6
30066,Spirits,Importados,JW,4.5,6
30029,Spirits,Importados,JW,4.5,6
30009,Spirits,Importados,JW,4.5,6
30054,Spirits,Importados,Zacapa Centenario 23,4.5,6
